No,Age,Gender,Average_mark,Repeated_a_Class,Suspended,Academic_Performance ,Family_Background,Students_Attitude ,Class_Attendance,Behavior ,Culture ,Grade ,Students_Responsibility ,Dropouts
1,40,0,60,1,0,2,1,1,1,1,1,3,1,1
2,18,0,70,0,0,3,2,1,3,1,1,3,3,1
3,18,1,50,1,0,1,1,2,1,1,3,1,2,1
4,18,0,60,1,0,1,1,1,1,2,1,1,1,1
5,24,0,50,0,0,2,2,1,1,1,1,1,1,1
6,30,1,60,0,1,1,1,1,1,4,1,4,3,1
7,18,1,45,0,0,1,1,3,1,1,1,1,1,1
8,30,0,30,0,0,4,2,2,2,2,1,1,2,1
9,24,1,50,0,1,3,1,2,1,1,4,3,1,1
10,18,0,60,0,0,1,2,2,1,1,2,1,2,0
11,18,1,60,0,0,2,1,1,2,1,1,2,1,1
12,30,0,46,0,0,1,3,2,3,3,1,3,1,0
13,24,0,44,0,0,3,2,1,3,4,1,3,2,1
14,30,1,50,1,0,1,1,3,1,3,3,3,1,0
15,24,1,63,0,0,1,2,3,3,3,1,1,3,1
16,24,1,46,0,0,3,1,1,2,1,1,1,3,1
17,24,1,35,1,0,1,1,1,1,1,2,2,1,1
18,30,0,46,0,0,3,1,3,1,3,4,3,3,1
19,30,1,72,1,0,4,3,1,1,1,1,3,4,1
20,24,1,46,0,1,2,2,2,1,1,1,1,1,1
21,18,0,90,0,0,2,2,1,1,1,1,1,1,1
22,24,0,20,0,0,1,1,3,3,3,3,1,3,1
23,24,0,25,0,0,1,4,3,4,4,3,3,3,1
24,30,1,50,0,0,3,1,1,3,4,3,3,3,1
25,36,0,46,0,0,2,1,1,2,3,1,3,4,1
26,30,1,33,0,0,1,1,1,3,3,1,4,3,0
27,40,0,59,0,0,3,1,1,1,4,3,3,1,0
28,18,0,96,0,0,1,1,1,1,3,2,3,1,0
29,30,1,25,0,1,2,3,1,1,3,1,1,1,1
30,24,1,66,0,0,4,4,4,2,1,2,1,2,1
31,24,0,46,0,1,4,1,4,1,1,2,3,2,0
32,18,1,97,1,1,1,2,1,1,3,1,3,1,0
33,30,1,63,0,0,1,1,1,1,1,1,1,1,1
34,30,1,50,0,0,2,3,3,1,4,2,1,1,1
35,24,1,50,1,0,1,1,1,1,3,1,3,1,1
36,18,0,50,0,0,1,2,2,3,1,3,3,3,0
37,18,0,50,0,0,3,1,1,1,2,1,1,1,1
38,27,1,46,1,0,3,1,2,3,1,2,1,1,1
39,30,0,63,0,0,1,1,1,1,1,1,1,1,1
40,29,1,35,0,0,1,2,1,1,1,1,1,1,0
