hhid,pub_lat_mod,pub_lon_mod,wetland_lat,wetland_lon,distance_km,district,region,Enumeration_area
H0010101,-0.5306275,32.3274918,32.3274918,-0.5306275,2.805464427,Kalangala,Central,1
H0010201,-0.136148,31.489006,31.489006,-0.136148,5.907202723,Sembabule,Central,1
H0010201,-0.136148,31.489006,31.489006,-0.136148,5.907202723,Sembabule,Central,1
H0010201,-0.136148,31.489006,31.489006,-0.136148,5.907202723,Sembabule,Central,1
H0010401,-0.5306275,32.3274918,32.3274918,-0.5306275,2.805464427,Kalangala,Central,1
H0011001,-0.5306275,32.3274918,32.3274918,-0.5306275,2.805464427,Kalangala,Central,1
H0020801,0.3331877,32.5706558,32.5706558,0.3331877,0.788638526,Kampala,Central,2
H0020901,0.3331877,32.5706558,32.5706558,0.3331877,0.788638526,Kampala,Central,2
H0021101,0.3331877,32.5706558,32.5706558,0.3331877,0.788638526,Kampala,Central,2
H0021301,0.2656806,32.4627571,32.4627571,0.2656806,0.416896327,Kampala,Central,2
H0021301,0.2656806,32.4627571,32.4627571,0.2656806,0.416896327,Kampala,Central,2
H0021301,0.2656806,32.4627571,32.4627571,0.2656806,0.416896327,Kampala,Central,2
H0030401,0.3130448,32.5691452,32.5691452,0.3130448,1.511275252,Kampala,Central,3
H0031201,0.3130448,32.5691452,32.5691452,0.3130448,1.511275252,Kampala,Central,3
H0031301,0.3130448,32.5691452,32.5691452,0.3130448,1.511275252,Kampala,Central,3
H0060601,0.378049,32.5941277,32.5941277,0.378049,2.027598732,Kampala,Central,6
H0070401,0.371429,32.5650597,32.5650597,0.371429,0.509172915,Wakiso,Central,7
H0070701,0.371429,32.5650597,32.5650597,0.371429,0.509172915,Kampala,Central,7
H0071001,0.371429,32.5650597,32.5650597,0.371429,0.509172915,Kampala,Central,7
H0080101,2.4580765,31.478054,31.478054,2.4580765,1.913294462,Arua,Northern,8
H0080201,0.3651408,32.5970154,32.5970154,0.3651408,0.566095258,Kampala,Central,8
H0080901,0.3651408,32.5970154,32.5970154,0.3651408,0.566095258,Kampala,Central,8
H0081001,0.3651408,32.5970154,32.5970154,0.3651408,0.566095258,Kampala,Central,8
H0081101,0.3130448,32.5691452,32.5691452,0.3130448,1.511275252,Kampala,Central,8
H0120901,0.2892729,32.6159744,32.6159744,0.2892729,0.727401746,Kampala,Central,12
H0120901,0.2892729,32.6159744,32.6159744,0.2892729,0.727401746,Kampala,Central,12
H0120903,0.2427742,32.6126518,32.6126518,0.2427742,0,Kampala,Central,12
H0120903,0.2427742,32.6126518,32.6126518,0.2427742,0,Kampala,Central,12
H0120905,0.3694841,32.7745628,32.7745628,0.3694841,2.653630479,Mukono,Central,12
H0121001,0.2892729,32.6159744,32.6159744,0.2892729,0.727401746,Kampala,Central,12
H0121001,0.2892729,32.6159744,32.6159744,0.2892729,0.727401746,Kampala,Central,12
H0140101,0.3032211,32.6197472,32.6197472,0.3032211,0.01224761,Kampala,Central,14
H0140601,0.3501274,32.6699867,32.6699867,0.3501274,1.066742135,Kampala,Central,14
H0140601,0.3501274,32.6699867,32.6699867,0.3501274,1.066742135,Kampala,Central,14
H0140901,0.3032211,32.6197472,32.6197472,0.3032211,0.01224761,Kampala,Central,14
H0160401,0.3016549,32.6005478,32.6005478,0.3016549,0.479143689,Kampala,Central,16
H0160501,0.3016549,32.6005478,32.6005478,0.3016549,0.479143689,Kampala,Central,16
H0161201,0.3016549,32.6005478,32.6005478,0.3016549,0.479143689,Kampala,Central,16
H0180101,0.273187,32.6248093,32.6248093,0.273187,0.51657119,Kampala,Central,18
H0180101,0.273187,32.6248093,32.6248093,0.273187,0.51657119,Kampala,Central,18
H0180601,0.273187,32.6248093,32.6248093,0.273187,0.51657119,Kampala,Central,18
H0180601,0.273187,32.6248093,32.6248093,0.273187,0.51657119,Kampala,Central,18
H0180602,-0.3969746,31.6315269,31.6315269,-0.3969746,1.565143243,Masaka,Central,18
H0180901,0.273187,32.6248093,32.6248093,0.273187,0.51657119,Kampala,Central,18
H0180901,0.273187,32.6248093,32.6248093,0.273187,0.51657119,Kampala,Central,18
H0181301,0.273187,32.6248093,32.6248093,0.273187,0.51657119,Kampala,Central,18
H0181301,0.273187,32.6248093,32.6248093,0.273187,0.51657119,Kampala,Central,18
H0210801,0.3447822,32.587532,32.587532,0.3447822,0.228507957,Kampala,Central,21
H0211001,0.3447822,32.587532,32.587532,0.3447822,0.228507957,Kampala,Central,21
H0211101,0.3447822,32.587532,32.587532,0.3447822,0.228507957,Kampala,Central,21
H0220501,0.3677201,32.6239586,32.6239586,0.3677201,1.026202083,Kampala,Central,22
H0220601,0.3677201,32.6239586,32.6239586,0.3677201,1.026202083,Kampala,Central,22
H0220701,0.3677201,32.6239586,32.6239586,0.3677201,1.026202083,Kampala,Central,22
H0230401,0.4297206,32.6659813,32.6659813,0.4297206,2.949423084,Mukono,Central,23
H0230401,0.4297206,32.6659813,32.6659813,0.4297206,2.949423084,Mukono,Central,23
H0230501,0.3684044,32.5902557,32.5902557,0.3684044,1.243060359,Kampala,Central,23
H0230801,0.3684044,32.5902557,32.5902557,0.3684044,1.243060359,Kampala,Central,23
H0231001,0.3684044,32.5902557,32.5902557,0.3684044,1.243060359,Kampala,Central,23
H0240701,0.3281848,32.6340675,32.6340675,0.3281848,0.524870944,Kampala,Central,24
H0240901,0.3281848,32.6340675,32.6340675,0.3281848,0.524870944,Kampala,Central,24
H0260201,0.3372048,32.6085892,32.6085892,0.3372048,1.254417058,Kampala,Central,26
H0260801,0.3372048,32.6085892,32.6085892,0.3372048,1.254417058,Kampala,Central,26
H0260901,0.3372048,32.6085892,32.6085892,0.3372048,1.254417058,Kampala,Central,26
H0270301,0.3059407,32.5291443,32.5291443,0.3059407,0.640667342,Kampala,Central,27
H0270601,0.3059407,32.5291443,32.5291443,0.3059407,0.640667342,Kampala,Central,27
H0270602,0.3059407,32.5291443,32.5291443,0.3059407,0.640667342,Kampala,Central,27
H0271102,0.3059407,32.5291443,32.5291443,0.3059407,0.640667342,Kampala,Central,27
H0280301,0.5020387,32.3488655,32.3488655,0.5020387,1.143841551,Kampala,Central,28
H0280302,0.2898597,32.5530357,32.5530357,0.2898597,0.005112697,Kampala,Central,28
H0280302,0.2898597,32.5530357,32.5530357,0.2898597,0.005112697,Kampala,Central,28
H0300301,0.3307504,32.542141,32.542141,0.3307504,1.300109876,Kampala,Central,30
H0300501,0.3307504,32.542141,32.542141,0.3307504,1.300109876,Kampala,Central,30
H0300601,0.3307504,32.542141,32.542141,0.3307504,1.300109876,Kampala,Central,30
H0301001,0.3307504,32.542141,32.542141,0.3307504,1.300109876,Kampala,Central,30
H0340901,0.3171434,32.537323,32.537323,0.3171434,0.802095641,Kampala,Central,34
H0341001,0.3171434,32.537323,32.537323,0.3171434,0.802095641,Kampala,Central,34
H0350301,0.30461,32.5437737,32.5437737,0.30461,0.817369526,Kampala,Central,35
H0351101,0.30461,32.5437737,32.5437737,0.30461,0.817369526,Kampala,Central,35
H0351501,0.30461,32.5437737,32.5437737,0.30461,0.817369526,Kampala,Central,35
H0360101,0.8279266,31.8434658,31.8434658,0.8279266,7.483132042,Kiboga,Central,36
H0360201,0.8279266,31.8434658,31.8434658,0.8279266,7.483132042,Kiboga,Central,36
H0360301,0.8279266,31.8434658,31.8434658,0.8279266,7.483132042,Kiboga,Central,36
H0360402,0.8279266,31.8434658,31.8434658,0.8279266,7.483132042,Kiboga,Central,36
H0360403,0.8279266,31.8434658,31.8434658,0.8279266,7.483132042,Kiboga,Central,36
H0360501,0.8279266,31.8434658,31.8434658,0.8279266,7.483132042,Kiboga,Central,36
H0360502,0.8279266,31.8434658,31.8434658,0.8279266,7.483132042,Kiboga,Central,36
H0360701,0.8279266,31.8434658,31.8434658,0.8279266,7.483132042,Kiboga,Central,36
H0360801,0.8279266,31.8434658,31.8434658,0.8279266,7.483132042,Kiboga,Central,36
H0361001,0.8279266,31.8434658,31.8434658,0.8279266,7.483132042,Kiboga,Central,36
H0370401,0.9235091,31.5785618,31.5785618,0.9235091,6.730697999,Kyankwanzi,Central,37
H0370501,0.9235091,31.5785618,31.5785618,0.9235091,6.730697999,Kyankwanzi,Central,37
H0370601,0.9235091,31.5785618,31.5785618,0.9235091,6.730697999,Kyankwanzi,Central,37
